Π中間子 	パイちゅうかんし	 pion (physics)
あいどく 	愛読	 reading with pleasure
あいどくしゃ 	愛読者	 subscriber, reader, admirer
あいどくしょ 	愛読書	 a favourite book
あいなめ 	鮎魚女	 greenling (fish) ainame 2  
あいにうえる 	愛に飢える	 to hunger (starve) for love
あいにく 	愛憎	 likes & dislikes ainiku 2  
あいのけっしょう 	ょu 愛の結晶	 fruit of love, children
あいのこ 	間の子	 derogatory person of mixed parentage, crossbreed ainoko 2  
あいのて 	間の手	 interlude ainote 2  
あいのと 	間の戸	 door between the rooms ainoto 2  
あいのり 	合い乗り	 riding together ainori 2  
あいはん 	相反	 disagreement (vs), contrary
あいば 	愛馬	 favourite horse
あいばん 	合い判	 medium-sized paper, medium-sized book
あいひとしい 	相等しい	 equal to each other
あいびき 	逢い引き	 (lover's) date, assignation aibiki 2  
あいびょう 	愛猫	 pet cat
あいびょうか 	愛猫家	 cat lover
あいびん 	哀愍	 pity aibin 2  
あいふく 	間服	 between season wear aifuku 2  
あいふだ 	合い札	 check
あいぶ 	愛撫	 caress (vs), loving dearly
あいべつ 	哀別	 sad parting
あいぼ 	哀慕	 cherish the memory of, yearn for aibo 2  
あいぼう 	合い棒	 companion aibou 2  
あいま 	合間	 interval
あいまい 	曖昧	 vague (an), ambiguous
あいまいさ 	曖昧さ	 ambiguity
あいまいもこ 	曖昧模糊	 obscure, vague, ambiguous
あいみつもり 	相見積り	 competitive bids or bidding
あいよう 	愛用	 favorite (a-no), habitual use (vs)
あいよく 	愛慾	 passion, love, lust aiyoku 2  
あいらく 	哀楽	 grief & pleasure
あいらしい 	愛らしい	 pretty, charming, lovely
あいれん 	哀憐	 pity, compassion
あいろ 	隘路	 defile, narrow path, bottleneck
あいわ 	哀話	 sad story
あう 	逢う	 to meet (with drama or pathos) au 2  
あうやくそく 	会う約束	 rendezvous
あうんのこきゅう 	あうんの呼吸	 the harmonizing, mentally and physically, of two parties engaged in an activity
あうんの呼吸 	あうんのこきゅう	 the harmonizing, mentally and physically, of two parties engaged in an activity
あえぐ 	喘ぐ	 to gasp, breathe hard
あえて 	敢えて	 dare (to do), challenge (to do)
あえないさいご 	敢えない最期	 tragic death
あえなく 	敢え無く	 sadly, tragically
あえもの 	韲物	 vegetable side dish
あえる 	韲える	 to dress vegetables (salad)
あえん 	亜鉛	 zinc (Zn)
あえんか 	亜鉛華	 zinc white, zinc oxide, flowers of zinc
あえんとっぱん 	亜鉛凸版	 photoengraving
あえんばん 	亜鉛板	 zinc plate aemban 2  
あえんびき 	亜鉛引き	 galvanized
あえんまつ 	亜鉛末	 zinc dust
あお 	青	 blue, green, green light
あおあお 	青々	 verdant, fresh and green, bright green, lush aoao 2  
あおあらし 	青嵐	 wind blowing through verdure, mountain air
あおい 	葵	 hollyhock aoi 2  
あおいかじつ 	青い果実	 unripe (green) fruit
あおいまつり 	葵祭	 hollyhock festival
あおいろ 	青色	 blue
あおう 	亜欧	 Eurasia
あおうきくさ 	青浮草	 duckweed aoukikusa 2  
あおうなばら 	青海原	 the blue sea
あおかけす 	青懸巣	 blue jay
あおかび 	青黴	 blue mold, Penicillium
あおぎたてまつる 	仰ぎ奉る	 to look up (pol)
あおぎたてる 	扇ぎ立てる	 to fan incessantly
あおぎのぞみ 	仰ぎ望み	 look to (for help) (vs), look up to, reverence
あおぎみる 	仰ぎ見る	 to look up
あおぎり 	梧桐	 sultan's parasol tree aogiri 2  
あおくさ 	青草	 green grass
あおくさい 	青臭い	 inexperienced, immature, grassy-smelling
あおぐ 	仰ぐ	 to look up (to), to respect, to depend on, to ask for, to depend on, to seek, to revere, to drink, to take
あおげら 	緑啄木鳥	 Japanese woodpecker (gikun)
あおさ 	石蓴	 type of green algae (gikun)
あおざめる 	青ざめる	 to become pale
あおしんごう 	青信号	 green light
あおじ 	蒿雀	 black-faced bunting (gikun)
あおじそ 	青紫蘇	 green beefsteak plant (uk), green perilla
あおじろい 	青白い	 pale, pallid
あおすじ 	青筋	 vein (esp. in head)
あおず 	青図	 blueprint
あおぞら 	青空	 blue sky
あおぞらいちば 	青空市場	 free market
あおぞらしじょう 	青空市場	 open-air market
あおたがい 	青田買い	 recruiting of students
あおだいしょう 	黄頷蛇	 common harmless snake aodaishou 2  
あおだたみ 	青畳	 new mat
あおてんじょう 	青天井	 blue sky, outdoor, skyrocketing
あおてんじょうよさん 	青天井予算	 limitless budget
あおと 	青砥	 medium-grade millstone
あおな 	青菜	 greens
あおにさい 	青二才	 green (immature) youth, novice, greenhorn
あおのく 	仰のく	 to look up
あおのける 	仰のける	 to turn up (one's face or a card)
あおぶくれ 	青膨れ	 dropsical (blue-green) swelling
あおむく 	仰むく	 to look up
あおむけ 	仰向け	 face up
あおむし 	青虫	 caterpillar
あおもの 	青物	 vegetables, green stuff
あおもりけん 	青森県	 prefecture in the Touhoku area
あおり 	煽り	 influence, gust (of wind)
あおりいか 	障泥烏賊	 type of squid
あおりをくう 	煽りを食う	 to suffer a blast or indirect blow, to be subject to the surplus force of an impetus
あおる 	煽る	 to fan, to agitate, to stir up
あおんたい 	亜温帯	 subtemperate zone
あか 	亜科	 suborder, subfamily aka 2  
あかあか 	赤々	 bright red, bright akaaka 2  
あかい 	赤い	 red
あかいろ 	赤色	 red (an)
あかえい 	赤えい	 stingray
あかかぶ 	赤蕪	 red turnip, small red radish
あかかり 	赤狩り	 communist hunting
あかがい 	赤貝	 ark shell (used as neta)
あかがね 	赤金	 copper akagane 2  
あかげ 	赤毛	 redhead
あかげわしゅ 	褐毛和種	 type of Japanese cow
あかこっこ 	赤鳥赤腹	 bird of the flycatcher family with black head and tail and reddish orange body (gikun)
あかざ 	藜	 goosefoot (plant)
あかし 	証	 proof, evidence
あかしお 	赤潮	 red tide
あかしょうびん 	赤翡翠	 large reddish brown Asian kingfisher
あかじ 	赤字	 deficit, go in the red
あかじこくさい 	赤字国債	 deficit-covering (government) bond
あかす 	厭かす	 to satiate, to surfeit, to bore, to tire, to weary akasu 2  
あかず 	飽かず	 with untiring zeal
あかずきん 	赤頭巾	 Little Red Riding Hood
あかせん 	赤線	 red-light district
あかちゃん 	赤ちゃん	 baby, infant
あかちょうちん 	赤ちょうちん	 restaurant lantern, sake shop
あかつき 	暁	 dawn, daybreak, in the event of
あかつきのそら 	暁の空	 dawning sky
あかでんわ 	赤電話	 public telephone
あかね 	茜	 madder
あかねいろ 	茜色	 madder red
あかねさすそら 	茜差す空	 glowing sky
あかはじ 	赤恥	 shame
あかはだか 	赤裸	 stark naked
あかふだ 	赤札	 goods sold, clearance sale
あかぼう 	赤帽	 redcap, porter
あかむらさき 	赤紫	 purplish red
あからがお 	赤ら顔	 red faced
あからむ 	赤らむ	 to become red akaramu 2  
あからめる 	赤らめる	 to blush, to redden
あかり 	灯り	 a light akari 2  
あかりしょうじ 	明かり障子	 paper screen door for admitting light
あかりとり 	明かり採り	 skylight, dormer, transom
あかるい 	明るい	 bright, cheerful
あかるいせいじ 	明るい政治	 clean politics
あかるさ 	明るさ	 brightness, luminance, cheerfulness
あかんたい 	亜寒帯	 subarctic zone
あかんぼう 	赤ん坊	 baby
あかチン 	赤チン	 mercurochrome, merbromin solution
あかプリ 	赤プリ	 Akasaka Prince Hotel (abbr)
あがったり 	上がったり	 poor business
あがなう 	贖う	 to compensate, to make up for
あがめる 	崇める	 to revere, to respect, to worship
あがりおり 	上がり降り	 ascent and descent
あがりくち 	上がり口	 entrance
あがりぐち 	上がり口	 entrance
あがりこむ 	上がり込む	 to enter, to step in
あがりさがり 	上がり下がり	 rise and fall, fluctuation
あがりだか 	上がり高	 revenue, income, receipts, yield
あがりだん 	上がり段	 staircase, doorsteps
あがりば 	上がり場	 landing, landing place
あがりめ 	上がり目	 eyes slanted upward, rising tendency
あがりもの 	上がり物	 food offering, yield, waste
あがりゆ 	上がり湯	 clean hot bath water for rinsing
あがる 	挙がる	 to become prosperous, to be captured agaru 2  
あき 	秋	 autumn, fall
あきあき 	飽き飽き	 sick of (vs)
あきうど 	商人	 trader, shopkeeper, merchant
あきかぜ 	秋風	 autumn breeze
あきかん 	空き缶	 empty can
あきぐち 	秋口	 beginning of autumn
あきさめ 	秋雨	 autumn rain
あきしょう 	厭き性	 fickle nature, flighty temperament
あきす 	空き巣	 prowler, sneak thief akisu 2  
あきすねらい 	空き巣狙い	 prowler, sneak thief
あきたけん 	秋田県	 prefecture in the Touhoku area
あきち 	空き地	 vacant land
あきない 	商い	 trade, business
あきなう 	商う	 to sell, to handle, to trade in
あきのいろ 	秋の色	 autumnal tints
あきばれ 	秋晴	 clear Autumnal weather akibare 2  
あきびん 	空き瓶	 empty bottle akibin 2  
あきべや 	空き部屋	 available room (hotel)
あきま 	空間	 vacant room
あきや 	空き家	 vacant house
あきゅうど 	商人	 trader, shopkeeper, merchant
あきらか 	明らか	 obvious, evident, clear, plain
あきらかにする 	明らかにする	 to make clear, to clarify, to disclose, to make public
あきらかになる 	明らかになる	 to become clear
あきらめ 	諦め	 resignation, acceptance, consolation
あきらめる 	諦める	 to give up, to abandon
あきる 	厭きる	 to get tired of, to lose interest in, to have enough akiru 2  
あきれかえる 	呆れ反る	 to be utterly amazed akirekaeru 2  
あきれる 	呆れる	 to be amazed, to be shocked
あきんど 	商人	 trader, shopkeeper, merchant
あく 	悪	 evil, wickedness aku 2  
あくあらい 	灰洗い	 scour, washing vegetables in lye
あくい 	悪意	 ill will, malice, spite, evil intention, bad faith akui 2  
あくいんあっか 	悪因悪果	 sowing & reaping evil
あくいんねん 	悪因縁	 evil destiny
あくうん 	悪運	 bad luck
あくえいきょう 	悪影響	 bad (negative) influence
あくえき 	悪疫	 epidemic
あくえん 	悪縁	 evil destiny or connection, unfortunate love
あくかんじょう 	悪感情	 ill feeling, ill will, animosity, bad impression
あくがた 	悪形	 villain's part
あくぎ 	悪戯	 practical joke
あくぎゃく 	悪逆	 treason, treachery, atrocity
あくぎゃくむどう 	悪逆無道	 treason, treachery, atrocity
あくぎょう 	悪業	 evil or sinful deed akugyou 2  
あくけい 	悪計	 plot, trick, evil scheme
あくげん 	悪言	 uncomplimentary remarks, slander
あくことをしらない 	飽くことを知らない	 insatiable
あくごう 	悪業	 evil, sinful deed, bad karma
あくさい 	悪妻	 bad wife
あくさく 	悪策	 poor policy, poor plan
あくざいりょう 	悪材料	 adverse stock-market factors
あくしつ 	悪疾	 malignant or virulent disease akushitsu 2  
あくしつか 	悪質化	 worsening
あくしゃ 	幄舎	 pavilion
あくしゅ 	悪手	 poor move akushu 2  
あくしゅう 	悪習	 bad habit, vice akushuu 2  
あくしゅうかん 	悪習慣	 bad habit, evil practices
あくしゅみ 	悪趣味	 bad taste
あくしょ 	悪所	 dangerous place, house of ill-repute, bad place akusho 2  
あくしょう 	悪症	 malignant or virulent disease akushou 2  
あくしょく 	悪食	 eating poor food (vs)
あくしん 	悪心	 evil thought, malicious motive
あくじ 	悪事	 evil deed, crime, wickedness
あくじき 	悪食	 eating poor food (vs), eating meat, eating repulsive things
あくじゅんかん 	悪循環	 vicious circle
あくじょ 	悪女	 wicked or ugly woman
あくじょうけん 	悪条件	 unfavorable conditions
あくじん 	悪神	 evil god
あくすい 	悪水	 undrinkable water
あくせい 	悪性	 malignancy, virulence, malignant (cancer), pernicious (anemia) akusei 2  
あくせいしゅよう 	悪性腫瘍	 malignant tumor
あくせいど 	悪性度	 malignancy
あくせいリンパしゅ 	悪性リンパ腫	 malignant lymphoma
あくせく 	齷齪	 fussily, busily, sedulously, worry about (vs), be busy about
あくせん 	悪戦	 hard fighting, close contest akusen 2  
あくせんくとう 	悪戦苦闘	 hard fighting
あくぜい 	悪税	 irrational tax
あくぜつ 	悪舌	 evil tongue, gossip
あくそう 	悪僧	 dissolute priest akusou 2  
あくたい 	悪態	 abusive language
あくたいをつく 	悪態をつく	 to call a person names, to curse
あくたがわりゅうのすけ 	芥川龍之介	 Akutagawa Ryuunosuke (auth)
あくたま 	悪玉	 bad character, bad person, villain
あくたれ 	悪たれ	 rowdiness, a rowdy
あくたれぐち 	悪たれ口	 abuse, insult, slander, evil speaking
あくたれる 	悪たれる	 to do mischief, to use abusive language
あくたろう 	悪太郎	 bad boy
あくだま 	悪玉	 villain, baddie
あくち 	悪血	 impure blood akuchi 2  
あくてん 	悪天	 bad weather
あくてんこう 	悪天候	 bad weather
あくてんし 	悪天使	 evil angels
あくと 	悪徒	 rascal, scoundrel, villain
あくとう 	悪党	 scoundrel, rascal, villain akutou 2  
あくとく 	悪徳	 vice, immorality, corruption
あくとくしんぶん 	悪徳新聞	 irresponsible newspaper
あくどう 	悪童	 bad boy akudou 2  
あくにかたむく 	悪に傾く	 to be inclined to evil
あくにち 	悪日	 unlucky day
あくにん 	悪人	 bad man, villain
あくねん 	悪念	 evil thought, malicious motive, spite
あくのちまた 	悪の巷	 skid row, underworld
あくのみちへいざなう 	悪の道へ誘う	 to lead astray, to lure a person to evil ways
あくば 	悪婆	 mean old woman akuba 2  
あくひつ 	悪筆	 poor handwriting
あくひょう 	悪評	 bad reputation, infamy, ill repute, unfavorable criticism
あくび 	悪日	 unlucky day akubi 2  
あくびょう 	悪病	 bad health
あくびょうどう 	悪平等	 leaning over backwards to be impartial
あくふ 	悪婦	 wicked woman akufu 2  
あくふう 	悪風	 vice, bad manners, evil customs
あくぶん 	悪文	 bad style, poor writing
あくへい 	悪弊	 vice, abuse, evil
あくへき 	悪癖	 bad habit, vice
あくへきがなおる 	悪癖が直る	 to get over a bad habit
あくほう 	悪法	 bad law
あくま 	悪魔	 devil, demon, fiend, Satan, evil spirit
あくまで 	飽くまで	 to the end, persistently akumade 2  
あくまばらい 	悪魔払い	 exorcism
あくみょう 	悪名	 bad reputation, ill repute, bad name
あくみょうたかい 	悪名高い	 infamous, notorious
あくみょうだかい 	悪名高い	 infamous, notorious
あくむ 	悪夢	 nightmare, bad dream
あくめい 	悪名	 bad reputation, ill repute, bad name
あくやく 	悪役	 villain, baddie, the villain's part
あくゆう 	悪友	 bad companion
あくよう 	悪用	 abuse, misuse, perversion
あくらつ 	悪辣	 craftiness
あくりょう 	悪霊	 evil spirit
あくりょく 	握力	 grip (of hand)
あくる 	明くる	 next, following (pref)
あくるひ 	明くる日	 next day, following day
あくれい 	悪令	 bad decree akurei 2  
あくろ 	悪路	 bad road
あぐむ 	厭む	 to be tired of doing agumu 2  
あぐら 	胡座	 sit cross-legged (i.e., Indian style)
あぐらをかく 	胡座をかく	 to sit cross-legged, to rest on one's laurels
あぐん 	亜群	 subgroup
あけがた 	明け方	 dawn
あけたて 	開け閉て	 opening and shutting
あけはなす 	開け放す	 to keep open (vt), to leave open
あけはなつ 	開け放つ	 to throw open, to leave open
あけぼの 	曙	 dawn, daybreak, beginning
あけましておめでとうございます 	明けましておめでとうございます	 Happy New Year
あける 	開ける	 to open akeru 2  
あけわたす 	明け渡す	 to vacate, to surrender
あげ 	上げ	 rise in price, making a tuck age 2  
あげあしをとる 	挙げ足を取る	 to find fault with someone, to flame someone ageashiwotoru 2  
あげいた 	上げ板	 movable floor boards, trap door
あげおろし 	上げ下ろし	 raising and lowering, loading and unloading
あげく 	挙げ句	 in the end, finally, at last ageku 2  
あげくのはて 	挙げ句の果て	 finally, in the end, on top of all that agekunohate 2  
あげさげ 	上げ下げ	 raising and lowering, praising and blaming, modulation
あげしお 	上げ潮	 incoming tide
あげず 	上げず	 (suf) every (two days, etc)
あげそうば 	上げ相場	 bullish market
あげた 	挙げた	 brought up (e.g. topic)
あげだしどうふ 	揚げ出し豆腐	 deep-fried tofu
あげだたみ 	上げ畳	 a tatami finished on both sides
あげて 	挙げて	 all, whole, en masse
あげはなす 	上げ離す	 to cut off (the head)
あげば 	揚げ場	 landing stage
あげぶた 	上げ蓋	 trap door, removable floor boards
あげまく 	揚げ幕	 entrance curtain (in Noh)
あげもの 	揚げ物	 deep-fried food
あげられる 	挙げられる	 to be arrested, to be caught
あげる 	挙げる	 to raise, to fly, to give (an example) ageru 2  
あこ 	吾子	 my child
あこう 	亜綱	 subclass
あこがれ 	憧れ	 yearning, longing, aspiration
あこがれる 	憧れる	 to long for, to yearn after, to admire
あこぎ 	阿漕	 greed
あご 	顎	 chin ago 2  
あごぼね 	顎骨	 jawbone
あさ 	朝	 morning asa 2  
あさい 	浅い	 shallow, superficial
あさいち 	朝市	 morning market
あさいと 	麻糸	 hemp yarn, linen thread asaito 2  
あさうら 	麻裏	 hemp-soled sandals
あさうらぞうり 	麻裏草履	 hemp-soled sandals
あさおき 	朝起き	 early rising
あさおり 	麻織	 hemp cloth asaori 2  
あさがお 	朝顔	 morning-glory (flower), bell (i.e. of a trumpet), funnel shaped
あさがた 	朝方	 toward morning
あさぎり 	朝霧	 morning fog
あさくず 	麻屑	 oakum, tow
あさぐろい 	浅黒い	 darkish, swarthy
あさげいこ 	朝稽古	 early morning practice
あさごはん 	朝ご飯	 breakfast asagohan 2  
あさごろも 	麻衣	 linen robe
あさせ 	浅瀬	 shoal, shallows, sand bar, ford
あさだち 	朝立ち	 erection when waking in the morning
あさって 	明後日	 day after tomorrow
あさっぱら 	朝っぱら	 in the early morning
あさつゆ 	朝露	 morning dew
あさづな 	麻綱	 hemp rope
あさなわ 	麻縄	 hemp rope
あさぬの 	麻布	 hemp, cloth, linen
あさね 	朝寝	 sleeping late in the morning
あさねぼう 	朝寝坊	 oversleeping (vs), late riser
あさはやく 	朝早く	 early in the morning
あさはん 	朝飯	 breakfast
あさばん 	朝晩	 morning and evening
あさぶくろ 	麻袋	 jute bag
あさましい 	浅ましい	 wretched, miserable, shameful, mean, despicable, abject
あさみどり 	浅緑	 light green
あさめし 	朝飯	 breakfast
あさめしまえ 	朝飯前	 a trivial matter (id), a cinch to do, it's a piece of cake
あさもや 	朝靄	 morning mist
あさやけ 	朝焼け	 morning glow, sunrise colors
あさゆう 	朝夕	 morning & evening
あさり 	漁り	 search, rummaging search, fishing asari 2  
あさる 	漁る	 to fish for, to look for
あさシャン 	朝シャン	 shampooing in the morning (vs)
あざ 	字	 section of village (suf) aza 2  
あざけり 	嘲り	 ridicule, scorn
あざけりわらう 	嘲り笑う	 to laugh to scorn
あざける 	嘲る	 (uk) to scoff
あざむきまどわす 	欺き惑わす	 to deceive and lead astray
あざむく 	欺く	 to deceive
あざやか 	鮮やか	 vivid (an), clear, brilliant
あざらし 	海豹	 seal (animal)
あざわらう 	嘲笑う	 (uk) to sneer at, to ridicule
あし 	悪し	 evil ashi 2  
あしあと 	足跡	 footprints
あしおと 	足音	 footsteps (sound)
あしか 	海驢	 hair seal, sea lion
あしかがじだい 	足利時代	 Ashikaga period (1333-1568 CE)
あしかせ 	足械	 fetters, shackles, hobbles, encumbrance, hindreance or burden ashikase 2  
あしからず 	悪しからず	 don't take me wrong, but..., I'm sorry
あしがおそい 	足が遅い	 to be slow-footed
あしがかり 	足掛かり	 foothold ashigakari 2  
あしがつく 	足が付く	 to be traced (tracked)
あしがでる 	足が出る	 to exceed the budget, to do not cover the expense
あしくび 	足首	 ankle
あしげ 	葦毛	 grey horse, dappled grey ashige 2  
あしこし 	足腰	 legs and loins
あしざまに 	悪し様に	 unfavorably, slanderously
あしずり 	足摺	 stamping or scraping feet
あした 	明日	 tomorrow
あしたはどうですか 	明日はどうですか	 how about tomorrow (id)
あしたば 	明日葉	 angelica
あしだ 	足駄	 high clogs, rain clogs
あしつき 	脚付き	 something with legs, sole of foot
あしどめ 	足止め	 house arrest, confinement, inducement to stay
あしどり 	足取り	 gait, manner of walking (swimming)
あしなみ 	足並み	 pace, step
あしならし 	足慣らし	 walking practice, warming up ashinarashi 2  
あしのこう 	足の甲	 top of the foot, instep
あしのゆび 	足の指	 toe
あしば 	足場	 scaffold, footing, foothold
あしばや 	足早	 quick footed (an), light footed, quick pace
あしばやい 	足速い	 swift-footed, light-footed
あしばやに 	足早に	 at a quick pace
あしばらい 	足払い	 tripping up
あしぶえ 	葦笛	 reed pipe
あしぶみ 	足踏み	 stepping (vs), stamping, marking time
あしまわり 	足回り	 chassis, undercarriage (of automobile or truck)
あしもと 	足下	 at one's feet, gait ashimoto 2  
あしゅ 	亜種	 sub-species
あしょうさん 	亜硝酸	 nitrous acid
あしょうさんえん 	亜硝酸塩	 nitrite
あしをくむ 	足を組む	 to cross one's legs
あじがうすい 	味が薄い	 lightly seasoned
あじきない 	味気無い	 wearisome, insipid
あじけない 	味気ない	 irksome, insipid, wretched, vain ajikenai 2  
あじさい 	紫陽花	 hydrangea
あじつけ 	味つけ	 seasoning (vs), flavor ajitsuke 2  
あじのもと 	味の素	 MSG, monosodium glutamate
あじわい 	味わい	 flavour, meaning, significance (a-no)
あじわう 	味わう	 to taste, to savor, to relish
あす 	明日	 tomorrow
あすかじだい 	飛鳥時代	 Asuka period (550-710 CE)
あずかり 	預かり	 custody, undecided match, draw, tie
あずかりしょ 	預かり所	 cloakroom, parcel room
あずかりじょ 	預かり所	 cloakroom, parcel room
あずかりもの 	預かり物	 something left in charge
あずかる 	与る	 to participate in azukaru 2  
あずき 	小豆	 red beans
あずけ 	預け	 custody, keeping
あずけいれる 	預け入れる	 to make a deposit
あずけきん 	預け金	 key money
あずける 	預ける	 to give into custody (vt), to leave (a child) in the care of, to entrust, to deposit
あずさ 	梓	 catalpa tree
あずさゆみ 	梓弓	 catalpa bow
あずちももやまじだい 	安土桃山時代	 Azuchi-Momoyama period (1558-1600 CE)
あずま 	東	 east, Eastern Japan
あずまおとこ 	東男	 man from East Japan
あずまや 	東屋	 arbor, bower, summer house
あせ 	汗	 sweat, perspiration
あせい 	亜聖	 sage of the second order
あせいそうけん 	亜成層圏	 substratosphere
あせばむ 	汗ばむ	 to be sweaty
あせも 	汗疹	 prickly heat, heat rash asemo 2  
あせり 	焦り	 impatience
あせる 	焦る	 to be in a hurry, to be impatient aseru 2  
あせをかく 	汗をかく	 to perspire
あぜ 	畦	 (uk) causeway
あぜくら 	叉庫	 ancient log cabin
あぜみち 	畔道	 footpath between rice fields
あぜんと 	唖然と	 in mute amazement
あそばせことば 	遊ばせ言葉	 polite language used by women
あそび 	遊び	 playing
あそびあいて 	遊び相手	 playmate, playfellow
あそびあるく 	遊び歩く	 to visit one place after another without affect
あそびくらす 	遊び暮す	 to idle away (vi)
あそびごころ 	遊び心	 desire to play or have a good time
あそびどうぐ 	遊び道具	 sports equipment
あそびにん 	遊び人	 carouser, playboy
あそびはんぶん 	遊び半分	 half in fun
あそびば 	遊び場	 playground
あそぶ 	遊ぶ	 to play, to visit
あぞく 	亜属	 subgroup, subgenus azoku 2  
あた 	仇	 foe, enemy, revenge, enmity, grudge, feud, harm, evil, ruin, invasion
あたい 	価	 value (vs (a-no)), price, cost, worth, merit atai 2  
あたえ 	与え	 gift, godsend
