嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
彼処	あそこ	1. (uk) there, over there, that place, 2. (X) (col) genitals	【代】  那; 那里; 那种情况; 那种局面	[sound:SPXJ01234.mp3]
値	あたい	value, price, cost, worth, merit	【名】  价钱; 价格; 价值(同ねだん)	[sound:SPXJ01261.mp3]
値する	あたいする	to be worth, to deserve, to merit	【自サ】  值; 价值相当于...; 值得; 有...价值	[sound:SPXJ01262.mp3]
私	あたし	I (fem)	【代】  我	[sound:SPXJ82450.mp3]
当たり	あたり	hit, success, reaching the mark, per ..., vicinity, neighborhood	【名】  打中; 射中; 中彩; 中奖; 称心如意; 成功; 着落; 头绪; 待人; 对待; 感觉; 鱼上钩; 叫吃; 击球; 打; 伤; 腐坏  【造語】  表示每; 平均; 中毒; 受病; 对身体有害	[sound:SPXJ01343.mp3]
当たり前	あたりまえ	usual, common, ordinary, natural, reasonable, obvious	【形動】  当然; 自然; 应该; 普通; 正常	
他人	あだびと	another person, unrelated person, outsider, stranger	【名】  别人; 他人; (没有血亲关系的)外人; 陌生人; 局外者	[sound:SPXJ45250.mp3]
彼方此方	あちこち	here and there	【代】  这里那里; 相反; 颠倒(同あちらこちら)	[sound:SPXJ01380.mp3]
彼方	あちら	1. there, yonder, that	【代】  那边; 那里; 那个	[sound:SPXJ01682.mp3]
彼方此方	あちらこちら	here and there	【代】  这里那里; 相反; 颠倒(同あちらこちら)	[sound:SPXJ01380.mp3]
悪化	あっか	deterioration, growing worse, aggravation, degeneration, corruption	【名】  【自サ】  恶化; 变坏	[sound:SPXJ01392.mp3]
呆気ない	あっけない	not enough, too quick (short long etc.)	【形】  太简单的; 没意思的; 没劲的; 不尽兴的; 不过瘾的	
悪口	あっこう	abuse, insult, slander, evil speaking	【名】  坏话; 诽谤	[sound:SPXJ82710.mp3]
あっさり	あっさり	easily, readily, quickly	【副】  【自サ】  清淡; 素气; 不花俏; 坦率; 淡泊; 简单; 轻松	[sound:SPXJ01433.mp3]
圧迫	あっぱく	pressure, coercion, oppression	【名】  【他サ】  压迫	[sound:SPXJ01497.mp3]
扱い	あつかい	treatment, service	【名】  使用; 操纵; 待; 待遇; 对待; 看待; 处理; 调停	[sound:SPXJ01393.mp3]
集まる	あつまる	to gather, to collect, to assemble	【自五】  聚; 集; 汇集; 集中	[sound:SPXJ01514.mp3]
誂える	あつらえる	to give an order, to place an order		[sound:SPXJ01526.mp3]
圧力	あつりょく	stress, pressure	【名】  压力; 制服力	[sound:SPXJ01528.mp3]
当て	あて	object, aim, end, hopes, expectations	【名】  目的; 目标; 期待; 指望; 撞; 系; 垫敷物; 垫布	[sound:SPXJ01534.mp3]
宛	あて	addressed to	【造語】  给...; 每	[sound:SPXJ01533.mp3]
当て字	あてじ	phonetic-equivalent character, substitute character	【名】  借用字; 假借字	[sound:SPXJ01546.mp3]
当てはまる	あてはまる	to apply (a rule)	【自五】  适用; 适合; 恰当	[sound:SPXJ01565.mp3]
当てはめる	あてはめる	to apply, to adapt	【他下一】  适用; 应用; 充当	[sound:SPXJ01566.mp3]
宛てる	あてる	to address		[sound:SPXJ01573.mp3]
跡継ぎ	あとつぎ	heir, successor	【名】  后任; 继承; 接班人; 后嗣	[sound:SPXJ01616.mp3]
後回し	あとまわし	putting off, postponing	【名】  推迟; 往后推; 缓办	[sound:SPXJ01635.mp3]
貴女	あなた	you, lady		
彼の	あの	that over there	【感】  喂; 啊; 嗯	[sound:SPXJ14236.mp3]
溢れる	あふれる	to flood, to overflow, to brim over	【自下一】  洒落; 溢出; (花)落; 掉	[sound:SPXJ01866.mp3]
油絵	あぶらえ	oil painting	【名】  油画	[sound:SPXJ01814.mp3]
炙る	あぶる	to scorch		[sound:SPXJ01858.mp3]
あべこべ	あべこべ	contrary, opposite, inverse	【名】  【形動】  反; 相反; 颠倒	[sound:SPXJ01870.mp3]
甘える	あまえる	to behave like a spoiled child, to fawn on	【自下一】  撒娇; 装小孩; 趁; 利用...的机会	[sound:SPXJ01901.mp3]
甘口	あまくち	sweet flavour, mildness, flattery, stupidity	【名】  带甜味的; 甜头; 甜言蜜语; 花言巧语	[sound:SPXJ01925.mp3]
雨具	あまぐ	rain gear	【名】  雨具	[sound:SPXJ01923.mp3]
天	あまつ	heavenly, imperial	【名】  天; 天空; 天国; 天堂(同てんごく); 天道; 天理; 天命; 苍天; 上帝; (字画, 货物等的)上部	[sound:SPXJ02062.mp3]
網	あみ	net, network	【名】  网; 铁丝网; 警网; 法网	[sound:SPXJ02015.mp3]
天地	あめつち	heaven and earth, the universe, nature, top and bottom, realm, sphere, world	【名】  天地; 全世界	[sound:SPXJ02081.mp3]
操る	あやつる	to manipulate, to operate, to pull strings	【他五】  耍; 耍弄; 开动; 驾驶; 操; 掌握	[sound:SPXJ02131.mp3]
あやふや	あやふや	uncertain, vague, ambiguous	【形動】  含糊; 模棱; 靠不住	[sound:SPXJ02137.mp3]
危ぶむ	あやぶむ	to fear, to have misgivings, to be doubtful, to mistrust	【他五】  担心; 认为危险; 怀疑; 挂念; 不信任	[sound:SPXJ02136.mp3]
過ち	あやまち	fault, error, indiscretion	【名】  (あやまつ的名词形 )错; 错处; 过; 过失	[sound:SPXJ02138.mp3]
誤る	あやまる	to make a mistake	【自他五】  错; 弄错; 贻害; 贻误	[sound:SPXJ02145.mp3]
歩み	あゆみ	walking	【名】  步行; 走; 脚步; 步调; 进行; 进展; 间距	[sound:SPXJ02155.mp3]
歩む	あゆむ	to walk, to go on foot	【自五】  行; 走; 前进; 进展	[sound:SPXJ02164.mp3]
あら	あら	oh, ah, saw-edged perch (Niphon spinosus)	【接頭】  尚未充分加工; 粗; 略; 稍; 稀稀拉拉  【名】  碎屑; 渣滓; 缺点; 毛病	[sound:SPXJ02165.mp3]
予め	あらかじめ	beforehand, in advance, previously	【副】  预先; 先	[sound:SPXJ02205.mp3]
荒らす	あらす	to lay waste, to devastate, to damage, to invade, to break into	【他五】  使荒废; 破坏; 毁坏; 骚扰; 扰乱; 损伤; 糟蹋; 偷窃; 抢劫	[sound:SPXJ02238.mp3]
粗筋	あらすじ	outline, summary	【名】  概略; 概要	[sound:SPXJ02241.mp3]
争い	あらそい	dispute, strife, quarrel, dissension, conflict, rivalry, contest	【名】  争; 争吵; 纠纷; 不和; 争论; 竞争	[sound:SPXJ02243.mp3]
改まる	あらたまる	to be renewed	【自五】  改; 更新; 改善; 革新; 故作庄重; 一本正经; 郑重其事	[sound:SPXJ02253.mp3]
荒っぽい	あらっぽい	rough, rude	【形】  粗暴的; 粗野的; 粗糙的	[sound:SPXJ02259.mp3]
凡ゆる	あらゆる	all, every		
あられ	あられ	kind of cookie, cartoon character	【名】  粒雪; 雪珠; 切成小碎块的年糕; 米果的一种	[sound:SPXJ02307.mp3]
現われ	あらわれ	embodiment, materialization		
現われる	あらわれる	to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself		
有難う	ありがとう	Thank you		
有様	ありさま	state, condition, circumstances, the way things are or should be, truth		[sound:SPXJ02364.mp3]
有りのまま	ありのまま	the truth, fact, as it is, frankly		
或る	ある	a certain..., some...	【連体】  某; 有	
或いは	あるいは	or, possibly	【接】  或; 或是; 有的; 有时  【副】  或者; 或许	
彼此	あれこれ	one thing or another, this and that, this or that	【副】  【自サ】  这个那个; 大约	[sound:SPXJ15172.mp3]
合わす	あわす	to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to		[sound:SPXJ02505.mp3]
合わせ	あわせ	joint together, opposite, facing	【名】  合在一起; 对照; 对比; 比赛	
慌ただしい	あわただしい	busy, hurried, confused, flurried	【形】  慌张的; 匆忙的; 不稳的	[sound:SPXJ02519.mp3]
慌てる	あわてる	to become confused (disconcerted disorganized)	【自下一】  惊慌; 着慌; 慌张; 急急忙忙	[sound:SPXJ02527.mp3]
暗殺	あんさつ	assassination	【名】  【他サ】  暗杀; 行刺	[sound:SPXJ02599.mp3]
暗算	あんざん	mental arithmetic	【名】  【他サ】  心算	[sound:SPXJ02601.mp3]
暗示	あんじ	hint, suggestion	【名】  【他サ】  暗示; 示意	[sound:SPXJ02604.mp3]
案じる	あんじる	to be anxious, to ponder	【他上一】  想; 思考(同かんがえる); 担心; 挂念(同きずかう)	[sound:SPXJ02616.mp3]
安静	あんせい	rest	【名】  【形動】  安静	[sound:SPXJ02626.mp3]
案の定	あんのじょう	sure enough, as usual	【副】  果然; 果如所料	[sound:SPXJ02711.mp3]
余り	あんまり	not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema	【名】  剩余; 剩下; 剩下的数; 余数; 过分; 过度; 过度...的结果; 因过于...而...  【副】  不怎样; 太过分  【造語】  余; 多	[sound:SPXJ01997.mp3]
依	い	depending on		
良い	いい	good	【形】  好; 良好; 善良; 贵重; 高贵; 美丽; 漂亮; 爽朗; 明朗; 舒适; 恰当; 适当; 恰好; 好; 妥; 对; 成; 行; 可; 够了	[sound:SPXJ02787.mp3]
伊井	いい	that one, Italy		
否	いいえ	no, nay, yes, well	【名】  否; 否定	[sound:SPXJ04670.mp3]
いい加減	いいかげん	moderate, right, random, not thorough, vague, irresponsible, halfhearted		
言い訳	いいわけ	excuse, explanation	【名】  【自サ】  分辩; 辩解; 道歉; 赔不是; 语言用法上的分别	[sound:SPXJ02917.mp3]
家出	いえで	running away from home, leaving home	【名】  【自サ】  出奔; 逃出家门; 出家	[sound:SPXJ02949.mp3]
家主	いえぬし	landlord	【名】  户主(同あるじ); 房东; 房主	[sound:SPXJ02955.mp3]
如何	いかが	how, in what way	【副】  如何; 怎么样(同どのように; どんなふうに)	[sound:SPXJ03070.mp3]
生かす	いかす	to revive, to resuscitate, to make use of	【他五】  弄活; 使生; 使活下去; 留活命; 活用; 有效利用; 发挥	[sound:SPXJ03022.mp3]
雷	いかずち	thunder	【名】  雷(同かみなり)	[sound:SPXJ14604.mp3]
如何に	いかに	how?, in what way?, how much?, however, whatever	【副】  如何; 怎样; 用什么方法; 怎么样; 怎么回事  【感】  喂	[sound:SPXJ03039.mp3]
如何にも	いかにも	indeed, really, phrase meaning agreement	【副】  的确; 完全; 实在; 真的; 果然; 诚然	[sound:SPXJ03040.mp3]
怒り	いかり	anger, hatred	【名】  怒; 愤怒; 生气	[sound:SPXJ03059.mp3]
怒る	いかる	to get angry, to be angry	【自五】  发怒; 生气; 挺起; 耸起	[sound:SPXJ03066.mp3]
歪む	いがむ	to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv	【自五】  歪斜; 歪扭; (心地)不正	[sound:SPXJ63076.mp3]
粋	いき	chic, style, purity, essence	【名】  【形動】  漂亮; 俊俏; 俏皮; 风流; 帅; 花柳界的老在行	[sound:SPXJ37590.mp3]
域外	いきがい	outside the area	【名】  域外; 区域以外; 境外	
意気込む	いきごむ	to be enthusiastic about	【自五】  振奋; 鼓起干劲; 兴致勃勃; 精神百倍	[sound:SPXJ03155.mp3]
経緯	いきさつ	1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c	【名】  经过; 原委; 底细; 内情	[sound:SPXJ21903.mp3]
行き違い	いきちがい	misunderstanding, estrangement, disagreement, crossing without meeting, going astray	【名】  (双方在途中)走岔开; (联系)错误; (感情)失和; (火车, 公共汽车)错车	[sound:SPXJ03195.mp3]
行き成り	いきなり	suddenly	【副】  突然; 冷不防; 马上就	
異議	いぎ	objection, dissent, protest	【名】  异议; 不同的意见	[sound:SPXJ03095.mp3]
いく	いく	to come, to orgasm	【自五】  去; 往; 行; 走; 经过; 走过; 通往; 到达	
軍	いくさ	war, battle, campaign, fight	【造語】  军队; 战争; 军(军队编制单位)	[sound:SPXJ03281.mp3]
戦	いくさ	war, battle, campaign, fight	【造語】  战斗; 战栗; 比赛	[sound:SPXJ03281.mp3]
育成	いくせい	rearing, training, nurture, cultivation, promotion	【名】  【他サ】  培养; 培育; 培训; 扶植; 扶育	[sound:SPXJ03293.mp3]
幾多	いくた	many, numerous	【副】  几多; 许多; 多数; 多少	[sound:SPXJ03294.mp3]
活ける	いける	to arrange (flowers)	【他下一】  插; 栽; 使活下去	[sound:SPXJ03359.mp3]
異見	いけん	different opinion, objection	【名】  异议; 不同见解	[sound:SPXJ03363.mp3]
意向	いこう	intention, idea, inclination	【名】  意向; 打算; 意图	[sound:SPXJ03374.mp3]
移行	いこう	switching over to	【名】  【自サ】  过渡; 转移; 移交	[sound:SPXJ03378.mp3]
いざ	いざ	now, come (now), well, crucial moment	【感】  喂; 唉; 好啦; 来吧; 一旦	[sound:SPXJ03401.mp3]
碑	いしぶみ	stone monument bearing an inscription	【名】  碑; 石碑	[sound:SPXJ03530.mp3]
衣装	いしょう	clothing, costume, outfit, garment, dress	【名】  服装; 剧装; 戏装	[sound:SPXJ03565.mp3]
意地	いじ	disposition, spirit, willpower, obstinacy, backbone, appetite	【名】  心术; 用心; 固执; 倔强; 志气; 气魄; 逞强	[sound:SPXJ03458.mp3]
苛める	いじめる	to tease, to torment, to persecute, to chastise	【他下一】  欺负; 虐待; 捉弄; 折磨	[sound:SPXJ03538.mp3]
移住	いじゅう	migration, immigration	【名】  【自サ】  移住; 移居; 定期迁徙	[sound:SPXJ03552.mp3]
弄る	いじる	to touch, to tamper with	【他五】  摆弄; 玩弄; 拨弄; 抚弄; 玩赏; 随便改动	[sound:SPXJ71270.mp3]
何れ	いずれ	where, which, who, anyway, anyhow, at any rate	【代】  (事物代名词的不定称)哪个; 哪一个  【感】  (表示想要做什么时的发声)哎; 啊	[sound:SPXJ03626.mp3]
異性	いせい	the opposite sex	【名】  异性; 不同性质的东西	[sound:SPXJ03634.mp3]
遺跡	いせき	historic ruins (remains relics)	【名】  故址; 遗迹; 死者留下的功绩	[sound:SPXJ03639.mp3]
依然	いぜん	still, as yet	【副】  【形動】  依然; 仍旧; 照旧	[sound:SPXJ03647.mp3]
依存	いそん	dependence, dependent, reliance	【名】  【自サ】  依存; 依靠; 赖以生存	[sound:SPXJ03685.mp3]
委託	いたく	consign (goods (for sale) to a firm), entrust (person with something), commit	【名】  【他サ】  委托; 托付	[sound:SPXJ03709.mp3]
悪戯	いたずら	tease, prank, trick, practical joke, mischief	【名】  【形動】  【自サ】  淘气; 恶作剧; 玩笑; 闹着玩; 消遣; 摆弄; 玩弄; 胡搞; 乱搞	[sound:SPXJ03731.mp3]
頂	いただき	(top of) head, summit, spire	【名】  顶; 上部; 巅; 尖	[sound:SPXJ03741.mp3]
戴きます	いただきます	expression of gratitude before meals		
至って	いたって	very much, exceedingly, extremely	【副】  很; 甚; 最  【連語】  至; 至于	[sound:SPXJ03754.mp3]
痛む	いたむ	to hurt, to feel a pain, to be injured	【自五】  疼痛; 苦恼; 悲痛; 痛苦; 伤心	[sound:SPXJ03783.mp3]
痛める	いためる	to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over	【他下一】  疼痛; 损伤; 使痛苦	[sound:SPXJ03792.mp3]
炒める	いためる	to stir-fry		[sound:SPXJ03794.mp3]
労る	いたわる	to pity, to sympathize with, to console, to care for, to be kind to	【他五】  照拂; 怜恤; 照顾; 安慰; 慰劳  【自五】  患病; 得病	[sound:SPXJ03810.mp3]
市	いち	market, fair	【名】  集市; 市场; 市街	[sound:SPXJ30044.mp3]
位地	いち	place, situation, position, location		
一々	いちいち	one by one, separately		
一概に	いちがいに	unconditionally, as a rule	【副】  一概; 一律; 无差别地; 无例外地	[sound:SPXJ03834.mp3]
一見	いちげん	unfamiliar, never before met	【名】  【他サ】  一见; 一看; 看一次; 看一眼; 一瞥; 乍看; 初看  【副】  一看; 乍看	[sound:SPXJ03853.mp3]
一言	いちげん	single word	【名】  一句话; 三言两语	[sound:SPXJ03856.mp3]
一日	いちじつ	1. one day, 2. first of month	【名】  (每月的)一日; 朔日	[sound:SPXJ03895.mp3]
一定	いちじょう	fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed	【名】  【副】  一定	[sound:SPXJ04416.mp3]
著しい	いちじるしい	remarkable, considerable	【形】  显著的; 显然的; 明显的; 非常的; 异常的	[sound:SPXJ03921.mp3]
一同	いちどう	all present, all concerned, all of us	【名】  【副】  全体; 大家	[sound:SPXJ03954.mp3]
一人	いちにん	one person	【名】  一人; 一个人	[sound:SPXJ03989.mp3]
一部	いちぶ	1. one copy e.g. of a document, 2. a part, partly, some	【名】  一册; 一部; 一份; 一套; 一部分	[sound:SPXJ04028.mp3]
一部分	いちぶぶん	a part	【名】  一部分	[sound:SPXJ04032.mp3]
一別	いちべつ	parting	【名】  【他サ】  一别; 分别	
一面	いちめん	one side, one phase, front page, the other hand, the whole surface	【名】  一面; 另一面; 全体; 满; 一片; 第一版; 一张	[sound:SPXJ04057.mp3]
一目	いちもく	a glance, a look, a glimpse	【名】  【自サ】  一只眼; 一目; 一看; 一个子; 输一筹; 差一筹	[sound:SPXJ04066.mp3]
一様	いちよう	uniformity, evenness, similarity, equality, impartiality	【名】  【形動】  一样; 同样; 平常; 普通; 平等	[sound:SPXJ04097.mp3]
一律	いちりつ	evenness, uniformity, monotony, equality	【名】  【形動】  同样的音律; 一律; 一样; 千篇一律	[sound:SPXJ04118.mp3]
一連	いちれん	a series, a chain, a ream (of paper)	【名】  一列; 一排	[sound:SPXJ04141.mp3]
一括	いっかつ	all together, batch, one lump, one bundle, summing up	【名】  【他サ】  总括起来; 一括在内	[sound:SPXJ04167.mp3]
一気	いっき	drink!(said repeatedly as a party cheer)	【名】  一口气(同ひといき)	
一挙に	いっきょに	at a stroke, with a single swoop		[sound:SPXJ04206.mp3]
一切	いっさい	all, everything, without exception, the whole, entirely, absolutely	【名】  【副】  一切; 全部; 全; 都(下接否定语)	[sound:SPXJ04246.mp3]
一心	いっしん	one mind, wholeheartedness, the whole heart	【名】  一条心; 同心; 一心一意	[sound:SPXJ04312.mp3]
いっそ	いっそ	rather, sooner, might as well	【副】  宁可; 索性; 莫若; 倒不如; 干脆	[sound:SPXJ04367.mp3]
一帯	いったい	a region, a zone, the whole place	【名】  【副】  一带; 一条	[sound:SPXJ04376.mp3]
一敗	いっぱい	one defeat		[sound:SPXJ04470.mp3]
一変	いっぺん	complete change, about-face	【名】  【自他サ】  一变; 完全改变; 突然改变	[sound:SPXJ04524.mp3]
何時	いつ	when, how soon	【名】  几点钟	[sound:SPXJ04147.mp3]
何時か	いつか	sometime, someday, one day, some time or other, the other day, in due course, in time	【副】  不知不觉; 不知什么时候; 曾经; 以前; 早晚; 迟早	
何時でも	いつでも	(at) any time, always, at all times, never (neg), whenever	【副】  无论什么时候; 随时; 经常; 总是	[sound:SPXJ04424.mp3]
何時の間にか	いつのまにか	before one knows, unnoticed, unawares	【連語】  【副】  不知不觉	
何時までも	いつまでも	forever, for good, eternally, as long as one likes, indefinitely	【副】  到什么时候也; 永远; 始终; 到老	
何時も	いつも	always, usually, every time, never (with neg. verb)	【副】  无论何时; 经常; 常常; 日常; 平日; 往常	
意図	いと	intention, aim, design	【名】  【他サ】  意图; 企图; 打算	[sound:SPXJ04586.mp3]
営む	いとなむ	to carry on (e.g. in ceremony), to run a business	【他五】  经营; 准备; 建造; 从事	[sound:SPXJ04640.mp3]
暇	いとま	free time, leisure, leave, spare time, farewell	【名】  闲暇; 工夫; 休假; 解雇; 辞退; 离婚; 告辞; 辞行	[sound:SPXJ04649.mp3]
異動	いどう	a change	【名】  【自他サ】  异动; 调动	[sound:SPXJ04593.mp3]
挑む	いどむ	to challenge, to contend for, to make love to	【自他五】  挑战; 找碴; 征服; 打破; 挑逗; 调情	[sound:SPXJ04659.mp3]
稲光	いなびかり	(flash of) lightning	【名】  闪电; 闪光	[sound:SPXJ04707.mp3]
古	いにしえ	antiquity, ancient times	【名】  古代	[sound:SPXJ04723.mp3]
祈り	いのり	prayer, supplication	【名】  祈祷; 祷告	[sound:SPXJ04788.mp3]
鼾	いびき	snoring		[sound:SPXJ04812.mp3]
今更	いまさら	now, at this late hour	【副】  现在才...; (下接否定语)现在开始; (下接否定语)事到如今; (下接否定语)现在重新	[sound:SPXJ04891.mp3]
未だ	いまだ	as yet, hitherto, not yet (neg)	【副】  未; 尚未	[sound:SPXJ04907.mp3]
移民	いみん	emigration, immigration, emigrant, immigrant	【名】  【自サ】  移民; 侨民	[sound:SPXJ04953.mp3]
厭々	いやいや	unwillingly, grudgingly, shaking head in refusal (to children)		
卑しい	いやしい	greedy, vulgar, shabby, humble, base, mean, vile	【形】  卑贱的; 卑微的; 破旧的; 寒碜的; 卑鄙的; 下流的; 贪婪的; 嘴馋的	[sound:SPXJ05034.mp3]
いやに	いやに	awfully, terribly	【副】  过于; 太	[sound:SPXJ05049.mp3]
厭やらしい	いやらしい	detestable, disagreeable		
愈々	いよいよ	more and more, all the more, increasingly, at last, beyond doubt		[sound:SPXJ05065.mp3]
意欲	いよく	will, desire, ambition	【名】  意志; 热情	[sound:SPXJ05069.mp3]
苛々	いらいら	getting nervous, irritation		
入口	いりくち	entrance, gate, approach, mouth		
衣料	いりょう	clothing	【名】  衣服; 衣料	[sound:SPXJ05139.mp3]
威力	いりょく	power, might, authority, influence	【名】  威力	[sound:SPXJ05151.mp3]
入る	いる	to get in, to go in, to come in, to flow into, to set, to set in	【自五】  进入; 闯入; 闯进; 加入; 参加; 入(学); 放入; 容纳; 含有; 包括	[sound:SPXJ05156.mp3]
衣類	いるい	clothes, clothing, garments	【名】  衣服	[sound:SPXJ05159.mp3]
色々	いろいろ	various		
異論	いろん	different opinion, objection	【名】  异议; 不同意见	[sound:SPXJ05277.mp3]
所謂	いわゆる	the so-called, so to speak	【連体】  所谓; 一般人说的	[sound:SPXJ05343.mp3]
印	いん	seal, stamp, mark, print	【名】  【他サ】  印章; 印上; 掐指; 痕迹; 印度的简称	[sound:SPXJ36424.mp3]
員	いん	member	【名】  人员; 人数	
印鑑	いんかん	stamp, seal	【名】  图章; 印鉴	[sound:SPXJ05380.mp3]
陰気	いんき	gloom, melancholy	【名】  【形動】  郁闷; 不开朗; 阴森	[sound:SPXJ05382.mp3]
